PR,Agent,ConfiguredModel,ReasoningEffort,Task,Commit,Verification
PR1,test-author,gpt-5.6-terra,ultra,Governance and agent-policy RED contract,958f360,RED run 29353735858 exposed seven missing governance checks
PR1,docs-contract,gpt-5.6-luna,max,Source snapshot and governance GREEN implementation,1071b88;5561b0a,GREEN run 29354711078 passed 7/7 policy checks
PR1,verifier-reviewer,gpt-5.6-terra,ultra,Independent policy and scope review,5561b0a,GREEN run 29354711078 reviewed with no blocking finding
PR1,release-manager,gpt-5.6-luna,max,PR evidence and sequential merge,5561b0a,PR1 run 29354711078 GREEN and merge evidence recorded
PR2,test-author,gpt-5.6-terra,ultra,Bootstrap doctor and security RED contracts,bc8ff1a;8b97c12,RED runs 29355953399 and 29357917815 retained
PR2,backend-runtime,gpt-5.6-terra,ultra,Five-service bootstrap doctor and build GREEN,7f1e308;e23e91f;e3ce4ec;a6de62c,GREEN run 29358274550 passed 18/18 contracts and real Compose system test
PR2,verifier-reviewer,gpt-5.6-terra,ultra,Independent bootstrap correctness and boundary review,a6de62c,GREEN run 29358274550 reviewed with no finding
PR2,release-manager,gpt-5.6-luna,max,PR evidence and sequential merge,a6de62c,PR2 run 29358274550 GREEN evidence recorded
PR3,test-author,gpt-5.6-terra,ultra,Definition versioning and binding-error RED contracts,84dd484;501417a;15bde2b,RED runs 29360460287 29362406478 and 29362760472 retained
PR3,backend-runtime,gpt-5.6-terra,ultra,Immutable compiler API and PostgreSQL GREEN implementation,f6e6080;6b590ae,GREEN run 29363243851 passed 54 compiler and 16 real PostgreSQL tests
PR3,docs-contract,gpt-5.6-luna,max,Schema API event and error contract,f6e6080,GREEN run 29363243851 verified M0-T03 and M0-T04 mappings
PR3,verifier-reviewer,gpt-5.6-terra,ultra,Independent config-classification review and final approval,6b590ae,GREEN run 29363243851 APPROVE after isolated P1 tests
PR3,release-manager,gpt-5.6-luna,max,PR evidence and sequential merge,6b590ae,PR3 run 29363243851 GREEN evidence recorded
PR4,test-author,gpt-5.6-terra,ultra,Async runtime queue Pi and persistence RED contracts,c0e8c0a;7525157,RED run 29366212880 retained with exact Pi contract
PR4,backend-runtime,gpt-5.6-terra,ultra,Async Run queue worker and Pi adapter GREEN,7837d26;66a7b46,GREEN run 29368111393 passed Pi 3/3 Run API 11/11 and two-worker Compose test
PR4,verifier-reviewer,gpt-5.6-terra,ultra,Independent concurrency persistence and scope review,66a7b46,GREEN run 29368111393 APPROVE with no skipped test
PR4,release-manager,gpt-5.6-luna,max,PR evidence and sequential merge,66a7b46,PR4 run 29368111393 GREEN evidence recorded
PR5,test-author,gpt-5.6-terra,ultra,Terminal failure crash restart and redaction RED contract,e391fef;05fa563,RED run 29371261101 and harness-preservation check retained
PR5,backend-runtime,gpt-5.6-terra,ultra,Safe failure sweep persistence and no-replay GREEN,c8dc0a4;12cb209,GREEN run 29372934798 passed 7/7 jobs and system acceptance
PR5,verifier-reviewer,gpt-5.6-terra,ultra,Independent failure correctness and fixed-test review,12cb209,GREEN run 29372934798 APPROVE and secret scan clean
PR5,release-manager,gpt-5.6-luna,max,PR evidence and sequential merge,12cb209,PR5 run 29372934798 GREEN evidence recorded
PR6,e2e-verifier,gpt-5.6-terra,ultra,Real-stack Playwright RED and E2E evidence,b54d132;d8e74fc;b7d424e;6242cc1,RED runs 29381747857 and 29383352554 retained; GREEN run 29385102802 passed 4 browser tests
PR6,frontend-ui,gpt-5.6-terra,ultra,Readonly Apple-minimal M0 Web shell GREEN,06ccbbb,GREEN run 29385102802 passed all 8 jobs with light dark and narrow evidence
PR6,verifier-reviewer,gpt-5.6-terra,ultra,Independent UI scope behavior and visual review,6242cc1,GREEN run 29385102802 APPROVE; artifact 8331166127 secret scan clean
PR6,release-manager,gpt-5.6-terra,ultra,Git PR and E2E evidence during Luna quota fallback,6242cc1,GREEN run 29385102802 and artifact 8331166127 recorded
PR7,test-author,gpt-5.6-terra,ultra,Acceptance RED and hardened contracts,160ef17;9e03d1c,RED runs 29430131531 and 29434470811
PR7,backend-runtime,gpt-5.6-terra,ultra,Acceptance GREEN implementation,7bbca21,Local acceptance 10/10; npm 28/28; typecheck and build PASS; run 29434958885 job 87419153731 PASS 13/13; artifact 8351195940 SHA256 8fadc88325ad8845b0d10e2ce22c941ffb6b8345911f4e747a4aa240e517c589; secret scan clean
PR7,verifier-reviewer,gpt-5.6-terra,ultra,Independent GREEN correctness and scope review,7bbca21,APPROVE; run 29434958885 job 87419153731 PASS 13/13; artifact 8351195940; secret scan clean
PR7,release-manager,gpt-5.6-terra,ultra,Git and PR evidence during Luna quota fallback,7bbca21,Temporary Terra release-manager; run 29434958885 job 87419153731 PASS; artifact 8351195940 SHA256 8fadc88325ad8845b0d10e2ce22c941ffb6b8345911f4e747a4aa240e517c589
PR7a,test-author,gpt-5.6-terra,ultra,Release hardening RED contracts and structural harness correction,87fa9ca;ad97e28;33985b2,RED runs 29438238073 and 29440457749; harness correction preserved expected and forbidden fields
PR7a,backend-runtime,gpt-5.6-terra,ultra,Provider secret isolation and immutable supply-chain GREEN implementation,ad01e70,Local contracts 34/34; typecheck and build PASS; DeepSeek and a new provider interface excluded; provider secret local-only and ignored; no value or content recorded
PR7a,verifier-reviewer,gpt-5.6-terra,ultra,Independent RED and GREEN correctness and scope review,ad01e70;33985b2,APPROVE; run 29442519995 job 87444773790 PASS 13/13; artifact 8354254035
PR7a,repo-scout,gpt-5.6-terra,ultra,Official supply-chain pin research during Luna quota fallback,ad01e70,Official runner Actions Node and PostgreSQL pins reviewed; DeepSeek excluded
PR7a,release-manager,gpt-5.6-terra,ultra,Git PR ledger and acceptance evidence during Luna quota fallback,87fa9ca;ad97e28;ad01e70;33985b2,RED runs 29438238073 and 29440457749; GREEN run 29442519995 job 87444773790; artifact 8354254035 SHA256 5ab04c961070b7928c6298130922aa10ba6b85d4a1b1838c0d72bf88632f933a; PASS 13/13; provider secret local-only and ignored
PR8,test-author,gpt-5.6-terra,ultra,M0 closeout documentation RED contract,ba2c7d2,RED run 29444912413 executed full M0 gate and retained 42 total with 6 expected closeout RED tests
PR8,docs-contract,gpt-5.6-terra,ultra,M0 closeout documentation GREEN implementation,c243c9b,First exact-head GREEN run 29446642825 job 87458646948 passed 42/42 governance contracts and 13/13 blocking requirements
PR8,verifier-reviewer,gpt-5.6-terra,ultra,Independent M0 closeout correctness and scope review,c243c9b,APPROVE; focused contract 8/8; full governance 42/42; run 29446642825 job 87458646948 PASS 13/13
PR8,release-manager,gpt-5.6-terra,ultra,Git PR and exact-head closeout evidence,c243c9b,First GREEN artifact 8355918095 SHA256 48223eb777d3621348f4279f0a0a17ce1ba1753f6319ab5b14b03e97038186ab; run 29446642825 job 87458646948 PASS
